product_id,Name,Published,Is_featured?,Short_description,Description,Date_sale price_starts,Date_sale_price_ends,Tax_class,In_stock,Stock,Low_stock_amount,Allow_customer_reviews,Sale_price,Regular_price,Cost,Margin,Categories,product_image
200201,Grace Coconut Water 1Lt,0,0,Abcd,,,,vat-20,1,5,2,1,2,3.49,2.76,26%,Beverages,
200202,Ts Coconut Water 520Ml,0,0,,,,,vat-20,1,5,2,1,1.5,1.99,1.248,59%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/05/TS-Coconut-Water-520ml.jpg
200203,Tango Dark Berry Sf 2Lt,0,0,,,,,vat-20,1,12,2,1,,1.89,1.26,50%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Tango-Dark-Berry-SF-2lt-1.jpg
200204,Schw Lemonade S/L 2Ltr,0,0,,,,,vat-20,1,5,2,1,,1.75,1.2672,38%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/05/SCHW-LEMONADE-S-L-2ltr.webp
200205,Chupa Chups Squeezee Frzpopg 12 X 45Ml,0,0,,,,,vat-20,1,14,2,1,,1.59,1.08,47%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Chupa-Chups-Squeezee-Frzpopg-12-x-45ml-1.jpg
200206,Costa Latte 250Ml,0,0,,,,,vat-20,1,5,2,1,,1.59,0.948,68%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/05/COSTA-LATTE-250ml.webp
200207,Frooti 600Ml,0,0,,,,,vat-20,1,3,2,1,,1.59,1.32,20%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/06/Frooti-600Ml.jpg
200208,Fruit Shoot Squeezee 12 X 45Ml,0,0,,,,,vat-20,1,15,2,1,,1.59,1.08,47%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Fruit-Shoot-Squeezee-12-x-45ml.jpg
200209,Irn Bru 2Lt,0,0,,,,,vat-20,1,6,2,1,,1.59,1.18,35%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Irn-Bru-2lt.png
200210,Juiceburst Apple 500Ml,0,0,,,,,vat-20,1,12,2,1,,1.59,0.91,75%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Juiceburst-Apple-500ml.jpg
200211,Juiceburst Orange 500Ml,0,0,,,,,vat-20,1,12,2,1,,1.59,1,59%,Beverages,https://desismart.co.uk/wp-content/uploads/2023/04/Juiceburst-Orange-500ml.webp
