Id,Name,Published,Isfeatured,Shortdescription,Description,Datesalepricestarts,Datesalepriceends,TaxClass,Instock,Stock,Lowstockamount,Allowcustomerreviews,SalePrice,Regularprice,CostPrice,Margin,Categories,product_image
200201,Grace Coconut Water 1Lt,0,0,Abcd,,,,20.01,1,5,2,1,2,3.49,2.76,,Beverages,
200202,Ts Coconut Water 520Ml,0,0,,,,,20.01,1,5,2,1,1.5,1.99,1.248,,Beverages,
200203,Tango Dark Berry Sf 2Lt,0,0,,,,,20.01,1,12,2,1,1.5,1.89,1.26,,Beverages,
200204,Schw Lemonade S/L 2Ltr,0,0,,,,,20.01,1,5,2,1,1.5,1.75,1.2672,,Beverages,
200205,Chupa Chups Squeezee Frzpopg 12 X 45Ml,0,0,,,,,20.01,1,14,2,1,1.5,1.59,1.08,,Beverages,
200206,Costa Latte 250Ml,0,0,,,,,20.01,1,5,2,1,1.5,1.59,0.948,,Beverages,
200207,Frooti 600Ml,0,0,,,,,20.01,1,3,2,1,1.5,1.59,1.32,,Beverages,
200208,Fruit Shoot Squeezee 12 X 45Ml,0,0,,,,,20.01,1,15,2,1,1.5,1.59,1.08,,Beverages,
200209,Irn Bru 2Lt,0,0,,,,,20.01,1,6,2,1,1.5,1.59,1.18,,Beverages,
200210,Juiceburst Apple 500Ml,0,0,,,,,20.01,1,12,2,1,1.5,1.59,0.91,,Beverages,
200211,Juiceburst Orange 500Ml,0,0,,,,,20.01,1,12,2,1,1.5,1.59,1,,Beverages,
200212,Coca Cola Regular 500Ml,0,0,,,,,20.01,1,24,2,1,1.5,1.5,1.02,,Beverages,
200213,Diet Coke Contour Pet 500Ml,0,0,,,,,20.01,1,24,2,1,1.5,1.5,1.03,,Beverages,
200214,Diet Coke Pet 500Ml,0,0,,,,,20.01,1,5,2,1,1.5,1.5,1.236,,Beverages,
200215,J20 Apple & Mango 275Ml,0,0,,,,,20.01,1,12,2,1,1.5,1.49,0.95,,Beverages,
200216,J20 Apple & Raspberry 275Ml,0,0,,,,,20.01,1,12,2,1,1.5,1.49,0.95,,Beverages,
200217,J20 Orange & Passionfruit 275Ml,0,0,,,,,20.01,1,12,2,1,1.5,1.49,0.95,,Beverages,
200218,Juiceburst Orange/ Carrot Juice 500Ml,0,0,,,,,20.01,1,12,2,1,1.5,1.49,0.91,,Beverages,
200219,Monster Aussie Lemonade 500Ml,0,0,,,,,20.01,1,5,2,1,1.5,1.49,0.924,,Beverages,
200220,Monster Energy 500Ml,0,0,,,,,20.01,1,12,2,1,1.5,1.49,0.94,,Beverages,
200221,Monster Nitro 500Ml,0,0,,,,,20.01,1,12,2,1,1.5,1.49,0.94,,Beverages,
200222,Rubicon Mango 1Lt,0,0,,,,,20.01,1,12,2,1,1.5,1.49,1.12,,Beverages,
200223,Red Bull Energy Drink,0,0,,,,,20.01,1,5,2,1,1.5,1.45,0.924,,Beverages,
200224,Monster Llt Wite 500Ml,0,0,,,,,20.01,1,24,2,1,1.5,1.39,0.85,,Beverages,
200225,Monster Ultra Wtrmoion,0,0,,,,,20.01,0,0,2,1,1.5,1.39,0.84,,Beverages,
200226,Mountain Dew Citrus 500Ml,0,0,,,,,20.01,1,12,2,1,1.5,1.39,0.95,,Beverages,
200227,Red Bull Sugar Free,0,0,,,,,20.01,1,5,2,1,1.5,1.39,0.84,,Beverages,
200228,Pepsi Regular 500Ml,0,0,,,,,20.01,1,12,2,1,1.5,1.3,0.83,,Beverages,
200229,Yazoo Banana 400Ml,0,0,,,,,20.01,1,5,2,1,1.5,1.29,0.96,,Beverages,
200230,Yazoo Choc Mint 400Ml,0,0,,,,,20.01,1,5,2,1,1.5,1.29,0.96,,Beverages,
200231,Lucozade Energy Orange,0,0,,,,,20.01,1,5,2,1,1.5,1.25,0.804,,Beverages,
200232,Lucozade Energy Originnl,0,0,,,,,20.01,1,5,2,1,1.5,1.25,0.804,,Beverages,
200233,Pepsi Max Pet 500Ml,0,0,,,,,20.01,1,12,2,1,1.5,1.25,0.77,,Beverages,
200234,Ribena Light Blckcrrnt 500Ml,0,0,,,,,20.01,1,12,2,1,1.5,1.25,0.75,,Beverages,
200235,Ribena Nas Strawberry 500Ml,0,0,,,,,20.01,1,12,2,1,1.5,1.25,0.75,,Beverages,
200236,Dr Pepper Zero 500Ml,0,0,,,,,20.01,1,12,2,1,1.5,1.2,0.86,,Beverages,
200237,Dr Pepper Zero 500Ml,0,0,,,,,20.01,1,5,2,1,1.5,1.2,1.032,,Beverages,
200238,Oasis Citrus Punch 500Ml,0,0,,,,,20.01,1,12,2,1,1.5,1.2,0.75,,Beverages,
200239,Thumps Up 300Ml,0,0,,,,,20.01,1,5,2,1,1.5,1.15,0.96,,Beverages,
200240,Limca 300Ml,0,0,,,,,20.01,1,5,2,1,1.5,1.09,0.9,,Beverages,
200241,Lipton Ice Raspbnz 500Ml,0,0,,,,,20.01,1,12,2,1,1.5,1.09,0.68,,Beverages,
200242,7Up Free 330Ml,0,0,,,,,20.01,1,24,2,1,1.5,0.99,0.41,,Beverages,
200243,7Up Regular Can 330Ml,0,0,,,,,20.01,1,24,2,1,1.5,0.99,0.41,,Beverages,
200244,Avant Water 1.5Lt,0,0,,,,,20.01,1,5,2,1,1.5,0.99,0.57799,,Beverages,
200245,Dr Pepper 330Ml,0,0,,,,,20.01,1,24,2,1,1.5,0.99,0.54,,Beverages,
200246,F/ Sht Orange Low Sugar 275Ml,0,0,,,,,20.01,1,12,2,1,1.5,0.99,0.53,,Beverages,
200247,F/ Sht Summer Fruits Low Sgr 275Ml,0,0,,,,,20.01,1,12,2,1,1.5,0.99,0.53,,Beverages,
200248,Fanta Lemon 330Ml,0,0,,,,,20.01,1,24,2,1,1.5,0.99,0.54,,Beverages,
200249,Fanta Orange Can 330Ml,0,0,,,,,20.01,1,24,2,1,1.5,0.99,0.54,,Beverages,
200250,Fanta Orange Zero 330Ml,0,0,,,,,20.01,1,24,2,1,1.5,0.99,0.54,,Beverages,
200251,Fever Medit Tonic Water 200Ml,0,0,,,,,20.01,1,24,2,1,1.5,0.99,0.7,,Beverages,
200252,Irn Bru 330Ml,0,0,,,,,20.01,1,24,2,1,1.5,0.99,0.48,,Beverages,
200253,S/Ply Fruity App&B/Crt Plain 330Ml,0,0,,,,,20.01,1,12,2,1,1.5,0.99,0.4,,Beverages,
200254,Sprite Can 330Ml,0,0,,,,,20.01,1,24,2,1,1.5,0.99,0.51,,Beverages,
200255,Tango Sf Dark Berry 330Ml,0,0,,,,,20.01,1,24,2,1,1.5,0.99,0.41,,Beverages,
200256,Coke Zero 330Ml,0,0,,,,,20.01,1,24,2,1,1.5,0.89,0.45,,Beverages,
200257,Diet Coke Can 330Ml,0,0,,,,,20.01,1,24,2,1,1.5,0.89,0.45,,Beverages,
200258,Es Energy Drink 500Ml,0,0,,,,,20.01,1,5,2,1,1.5,0.89,0.492,,Beverages,
200259,Es Summer Ets Juice 500Ml,0,0,,,,,20.01,0,0,2,1,1.5,0.89,0.53,,Beverages,
200260,Pepsi Diet Can 330Ml,0,0,,,,,20.01,1,24,2,1,1.5,0.89,0.41,,Beverages,
200261,Fruit Shoot Apple / Blackcurrent 275Ml,0,0,,,,,20.01,1,12,2,1,1.5,0.85,0.51,,Beverages,
200262,Pepsi Regular 330Ml,0,0,,,,,20.01,1,24,2,1,1.5,0.8,0.4,,Beverages,
200263,Boost Energy Original 250Ml,0,0,,,,,20.01,1,5,2,1,1.5,0.75,0.408,,Beverages,
200264,Evian Water 500Ml,0,0,,,,,20.01,1,5,2,1,1.5,0.75,0.325,,Beverages,
200265,F Anta Fruit Twist 330Ml,0,0,,,,,20.01,1,24,2,1,1.5,0.75,0.46,,Beverages,
200266,Pepsi Max Can 330Ml,0,0,,,,,20.01,1,24,2,1,1.5,0.75,0.41,,Beverages,
200267,Quice Apple Juice 250Ml,0,0,,,,,20.01,1,5,2,1,1.5,0.75,0.25,,Beverages,
200268,Quice Fruit Punch Juice 250Ml,0,0,,,,,20.01,1,5,2,1,1.5,0.75,0.25,,Beverages,
200269,Quice Mango Juice 250Ml,0,0,,,,,20.01,1,5,2,1,1.5,0.75,0.25,,Beverages,
200270,Tango Orange Can 330Ml,0,0,,,,,20.01,1,24,2,1,1.5,0.75,0.41,,Beverages,
200271,Volvic Still Water 500Ml,0,0,,,,,20.01,1,24,2,1,1.5,0.69,0.32,,Beverages,
200272,Es Citrus Jce Drink 500Ml,0,0,,,,,20.01,1,12,2,1,1.5,0.65,0.43,,Beverages,
200273,Princes Apple Paper Straws 200Ml,0,0,,,,,20.01,1,27,2,1,1.5,0.65,0.43,,Beverages,
200274,Princes Orange Paper Straws 200Ml,0,0,,,,,20.01,1,27,2,1,1.5,0.65,0.38,,Beverages,
200275,Ribena Blackcurrant 250Ml,0,0,,,,,20.01,1,24,2,1,1.5,0.65,0.44,,Beverages,
200276,Ribena Strawberry 250Ml,0,0,,,,,20.01,1,24,2,1,1.5,0.65,0.44,,Beverages,
200277,Fruit Shoot Orange 200Ml,0,0,,,,,20.01,1,5,2,1,1.5,0.6,0.396,,Beverages,
200278,Aqua Pura Sparkling Water 500Ml,0,0,,,,,20.01,1,5,2,1,1.5,0.59,0.24949,,Beverages,
200279,Avant Water 500Ml,0,0,,,,,20.01,1,5,2,1,1.5,0.5,0.17449,,Beverages,
200280,Es Apple Juice 200Ml,0,0,,,,,20.01,1,24,2,1,1.5,0.5,0.33,,Beverages,
200281,Kirkland Spring Water 500Ml,0,0,,,,,20.01,1,5,2,1,1.5,0.5,0.18,,Beverages,
200282,Big Time Bgum Paper Straw 200Ml,0,0,,,,,20.01,1,24,2,1,1.5,0.29,0.12,,Beverages,
200283,Big Time Blkcrnt Paper Straw 200Ml,0,0,,,,,20.01,1,24,2,1,1.5,0.29,0.12,,Beverages,
200284,Maltesers Shake 350Ml,0,0,,,,,20.01,1,8,2,1,1.5,1.49,0.81,,Beverages,
200285,Mogu Mogu Nata De Coco Mango 320Ml,0,0,,,,,20.01,1,24,2,1,1.5,1.29,0.79,,Beverages,
200286,Aloe Hawain 500ml,0,0,,,,,20.01,1,5,2,1,1.5,0.99,0.72,,Beverages,
200287,Aqua Carpatica Still Water 1lt,0,0,,,,,20.01,1,5,2,1,1.5,0.99,0.63,,Beverages,
200288,Smart Water 600ml,0,0,,,,,20.01,1,5,2,1,1.5,0.79,0.49476,,Beverages,
200289,Pepsi Reg 1.5lt,0,0,,,,,20.01,1,6,2,1,1.5,1.99,1.398,,Beverages,
200290,Limca Bottles 300Ml,0,0,,,,,20.01,1,2,2,1,1.5,1.5,0.66,,Beverages,
200291,Tropical Sun Coconut Water 300Ml,0,0,,,,,20.01,1,3,2,1,1.5,1.79,0.83,,Beverages,
200292,Vita Coco Natural Coconut Water 1000ml,0,0,,,,,20.01,1,3,2,1,1.5,2.99,1.53,,Beverages,
200293,Vita Coco Natural Coconut Water 330ml,0,0,,,,,20.01,1,3,2,1,1.5,1.25,0.62,,Beverages,
200294,Kashmira Masala Jeera Soda 250ml,0,0,,,,,20.01,1,5,2,1,1.5,1.49,0.85,,Beverages,
200295,TAS sugarcane drink 310ml,0,0,,,,,20.01,1,5,2,1,1.5,0.99,0.5,,Beverages,
200296,Monster Ultra Black 500Ml,0,0,,,,,20.01,1,5,2,1,1.5,1.55,1.044,,Beverages,
200297,Bulldog Energy Drink 250Ml,0,0,,,,,20.01,1,5,2,1,1.5,0.49,0.2484,,Beverages,
200298,Voss Water Glass 800Ml,0,0,,,,,20.01,1,5,2,1,1.5,2.49,1.5,,Beverages,
200299,San Pellegrino Pet Water 1Lt,0,0,,,,,20.01,1,5,2,1,1.5,1.49,1.008,,Beverages,
200300,Limca P Bottles 300Ml,0,0,,,,,20.01,1,5,2,1,1.5,1.19,0.6,,Beverages,
200301,7Up Nimbo Mas Drink 250Ml,0,0,,,,,20.01,0,0,2,1,1.5,1.49,0.732,,Beverages,
200302,Perrier Sparkling Water 750Ml,0,0,,,,,20.01,1,5,2,1,1.5,1.75,1.092,,Beverages,
200303,Frooti 125Ml,0,0,,,,,20.01,1,5,2,1,1.5,0.69,0.336,,Beverages,
200304,Limca P Bottles 750Ml,0,0,,,,,20.01,1,5,2,1,1.5,1.99,0.996,,Beverages,
200305,Mogu Mogu Guava 320Ml,0,0,,,,,20.01,1,5,2,1,1.5,1.29,0.792,,Beverages,
200306,Mirinda Can 330Ml,0,0,,,,,20.01,1,5,2,1,1.5,0.99,0.348,,Beverages,
200307,Thumps Up 750Ml,0,0,,,,,20.01,0,0,2,1,1.5,1.69,0.83,,Beverages,
200308,Evian Water 1.5L,0,0,,,,,20.01,1,5,2,1,1.5,0.84,1.49,,Beverages,
200309,Brooke Bond Red Label Tea 450g,1,0,,,,,20.01,0,0,2,1,1.5,5.49,3.75,,Beverages > Tea & Coffee,
200310,Samahan Tea Bags 30,1,0,,,,,20.01,0,0,2,1,1.5,5.99,4.25,,Beverages > Tea & Coffee,
200311,Lipton Ice Tea Peach 500ml,1,0,,,,,20.01,1,6,2,1,1.5,1.25,0.669,,Beverages > Tea & Coffee,
200312,Lipton Ice Tea Lemon 500ml,1,0,,,,,20.01,1,6,2,1,1.5,1.25,0.669,,Beverages > Tea & Coffee,
200313,Bru Instant Coffee 200G,1,0,,,,,20.01,1,1,2,1,1.5,8.99,5.99,,"Beverages > Tea & Coffee, Groceries > Tea & Coffee",
200314,Bru Green Label Filter Coffee 500G,1,0,,,,,20.01,0,0,2,1,1.5,5.99,3.99,,"Beverages > Tea & Coffee, Groceries > Tea & Coffee",
200315,Tetley Green Tea Lemon 20S,1,0,,,,,20.01,1,5,2,1,1.5,1.75,1.0725,,"Beverages > Tea & Coffee, Groceries > Tea & Coffee",
200316,Tetley T/Bags 40S,1,0,,,,,20.01,1,4,2,1,1.5,1.59,0.83,,"Beverages > Tea & Coffee, Groceries > Tea & Coffee",
200317,Lifestyle Cappuccino 112G,1,0,,,,,20.01,1,5,2,1,1.5,1.19,0.88125,,"Beverages > Tea & Coffee, Groceries > Tea & Coffee",
