Id,Name,description,categories_image
389422,Pastes & Sauces,,
389423,Papad,,
389424,Beverages,,
389425,Tea & Coffee,,
389426,Pickles,,
389427,Pooja,,
389428,Pulses & Dals,,
389429,Groceries,,
389430,Ghee,,
389431,Instant Mix,,
389432,Flours,,
389433,Chocolates,,
389434,Pet Food,,
389435,Breakfast,,
389436,Sweeteners,,
389437,Biscuits,,
389438,Soups,,
389439,Oils,,
389440,Spices,,
389441,1 Vegetables,,
389442,Household,,
389443,Protein Bars,,
389444,Chips,,
389445,Frozen,,
389446,Rice,,
389447,Nutritional Drinks,,
389448,Ravas,,
389450,Party & Fun,,
389452,Dry Fruits & Nuts,,
389453,Millets,,
389454,Sweets & Savouries,,
401027,Accessories,,
417990,1 Greens,,
418012,1 Fruits,,
475924,Tobacco,,
491214,1 Rice on demand,,
578755,Butcher,,
582784,Butcher WS,,
586050,1 Desi Sweets,,
902072,1,,
902318,0,,
