Id,Category_Level_0,Sub_Cat_Level_1,Sub_Cat_Level_2,Sub_Cat_Level_3
202210,Breakfast,,,
202211,Beverages,Nutritional Drinks,,
202212,Beverages,Tea & Coffee,,
202213,Groceries,Attas & Flours,Attas,
202214,Groceries,,Flours,
202215,Groceries,,Ravas,
202216,Groceries,,Instant Cook,
202217,Groceries,,Ready / Instant Mix,
202218,Groceries,,Healthy,
202219,Groceries,Pulses & Dals,,
202220,Groceries,Nuts & Dry Fruits,,
202221,Groceries,Ghees & Oils,Ghees,Cow
202222,Groceries,,,Buffalo
202223,Groceries,,Oils,Groundnut
202224,Groceries,,,Sesame
202225,Groceries,,,Sunflower
202226,Groceries,,,Mustard
202227,Groceries,,,Pooja
202228,Groceries,Papads (Fryums),,
202229,Groceries,Food Colors,,
202230,Groceries,Sweeteners,,
202231,Groceries,Tea & Coffee,,
202232,Rice,Basmati,,
202233,Rice,Sona Masoori Rice,,
202234,Rice,Single Polished,,
202235,Rice,Matta / Ponni Rice,,
202236,Rice,Other Rice Varieties,,
202237,Rice,Poha / Murmura,,
202238,Rice,Millet,Millets,
202239,Rice,,Millet Ravas,
202240,Rice,,Millet Noodles,
202241,Spices,Herbs,,
202242,Spices,Ground Spices,,
202243,Spices,Whole Spices,,
202244,Spices,Pastes & Sauces,,
202245,Fruits & Veggies,Seasonal Fruits,,
202246,Fruits & Veggies,Vegetables,,
202247,Fruits & Veggies,Leafy Vegetables,,
202248,Fruits & Veggies,Tinned,,
202249,Pickles,Priya,,
202250,Pickles,Navy Mukhi,,
202251,Pickles,Village,,
202252,Pickles,Telugu Foods,,
202253,Pickles,Non-Veg Pickles,,
202254,Pickles,Karam Podi,,
202255,Sweets & Savouries,Desi Sweets,,
202256,Sweets & Savouries,Biscuits,,
202257,Sweets & Savouries,Chocolates,,
202258,Sweets & Savouries,Chips,,
202259,Sweets & Savouries,GRB,,
202260,Sweets & Savouries,A2B,,
202261,Sweets & Savouries,Heera,,
202262,Sweets & Savouries,Telugu Foods,,
202263,Household,GoGreen,,
202264,Household,Accessories,,
202265,Household,Beauty,,
202266,Household,Health & Wellbeing,,
202267,Household,Party & Fun,,
202268,Household,Stationery,,
202269,Household,Rakhi,,
202270,Pooja,Brass & Cooper,,
202270,Pooja,Camphor,,
202270,Pooja,Dipam,,
202270,Pooja,Idols,,
202270,Pooja,Incense Sticks,,
202270,Pooja,Photo Frames,,
202270,Pooja,Pooja Kits,,
202270,Pooja,Pooja Mandirs,,
202270,Pooja,Powders,,
202270,Pooja,Special Occasions,,
