Id,Name,Weight1,Weight2,Weight3,Description,Stock,Visible,Low_Stock,Tax_Class,Cost_Price_1,Cost_Price_2,Cost_Price_3,Regular_Price_1,Regular_Price_2,Regular_Price_3,Sale_Price_1,Sale_Price_2,Sale_Price_3,Categories
,Desi S-Mart Jaggery,1,2,5,Jaggery block,100,1,2,0VAT,1.35,2.7,6.75,2.49,4.731,10.64475,,,,Groceries/Sweetner
,Milk Cake (Kalakand) ,0.25,0.5,1,Desi Sweets,10,,2,0VAT,2.65,5.3,10.6,3.99,7.581,13.6458,,,,Sweets&Savouries/Desi Sweets
,Milk Mysorepak,0.25,0.5,1,Desi Sweets,10,,2,0VAT,2.15,4.3,8.6,3.49,6.631,11.9358,,,,Sweets&Savouries/Desi Sweets
,Putharekulu / Kaju Acchu,0.25,0.5,1,Desi Sweets,10,,2,0VAT,3,6,12,4.75,9.025,16.245,,,,Sweets&Savouries/Desi Sweets
,Mango Jelly,0.25,0.5,1,Desi Sweets,10,1,2,0VAT,1.75,3.5,7,2.99,5.681,10.2258,,,,Sweets&Savouries/Desi Sweets
,Regi Vadiyalu,0.25,0.5,1,Desi Sweets,10,1,2,0VAT,2,4,8,2.99,5.681,10.2258,,,,Sweets&Savouries/Desi Sweets
,Thati Tandra,0.15,0.3,0.6,Desi Sweets,10,1,2,0VAT,1.5,3,6,2.99,5.681,10.2258,,,,Sweets&Savouries/Desi Sweets
,Groundnut Pakodi / Chikki,0.25,0.5,1,Desi Sweets,10,,2,0VAT,2.1,4.2,8.4,3.49,6.631,11.9358,,,,Sweets&Savouries/Desi Sweets
,Kaju Pakodi,0.25,0.5,1,Desi Sweets,10,,2,0VAT,2.65,5.3,10.6,3.99,7.581,13.6458,,,,Sweets&Savouries/Desi Sweets
,Bandhar Halwa,0.25,0.5,1,Desi Sweets,10,,2,0VAT,2.25,4.5,9,3.99,7.581,13.6458,,,,Sweets&Savouries/Desi Sweets
,Besan Laddu,0.25,0.5,1,Desi Sweets,10,,2,0VAT,3,6,12,3.99,7.581,13.6458,,,,Sweets&Savouries/Desi Sweets
,Boondhi Achuu,0.25,0.5,1,Desi Sweets,10,,2,0VAT,1,2,4,1.49,2.831,5.0958,,,,Sweets&Savouries/Desi Sweets
,Chandra kala,0.25,0.5,1,Desi Sweets,10,,2,0VAT,2.49,4.98,9.96,3.49,6.631,11.9358,,,,Sweets&Savouries/Desi Sweets
,Dry Fruit Halwa,0.25,0.5,1,Desi Sweets,10,,2,0VAT,2.25,4.5,9,3.99,7.581,13.6458,,,,Sweets&Savouries/Desi Sweets
,Kaju Katli,0.25,0.5,1,Desi Sweets,10,,2,0VAT,3,6,12,4.49,8.531,15.3558,,,,Sweets&Savouries/Desi Sweets
,Malai Mysorepak,0.25,0.5,1,Desi Sweets,10,,2,0VAT,3,6,12,3.99,7.581,13.6458,,,,Sweets&Savouries/Desi Sweets
