Id,Category_Level_0,Sub_Cat_Level_1_Id,Sub_Cat_Level_1,Category_Level_0_Id,Sub_Cat_Level_2_Id,Sub_Cat_Level_2,Sub_Cat_Level_1_Id,Sub_Cat_Level_3_Id,Sub_Cat_Level_3,Sub_Cat_Level_2_Id
200201,Breakfast,,,,,,,,,
,Beverages,,Nutritional Drinks,,,,,,,
,,,Tea & Coffee,,,,,,,
,Groceries,,Attas & Flours,,,Attas,,,,
,,,,,,Flours,,,,
,,,,,,Ravas,,,,
,,,,,,Instant Cook,,,,
,,,,,,Ready / Instant Mix,,,,
,,,,,,Healthy,,,,
,,,Pulses & Dals,,,,,,,
,,,Nuts & Dry Fruits,,,,,,,
,,,Ghees & Oils,,,Ghees,,,Cow,
,,,,,,,,,Buffalo,
,,,,,,Oils,,,Groundnut,
,,,,,,,,,Sesame,
,,,,,,,,,Sunflower,
,,,,,,,,,Mustard,
,,,,,,,,,Pooja,
,,,Papads (Fryums),,,,,,,
,,,Food Colors,,,,,,,
,,,Sweeteners,,,,,,,
,,,Tea & Coffee,,,,,,,
,Rice,,Basmati,,,,,,,
,,,Sona Masoori Rice,,,,,,,
,,,Single Polished,,,,,,,
,,,Matta / Ponni Rice,,,,,,,
,,,Other Rice Varieties,,,,,,,
,,,Poha / Murmura,,,,,,,
,,,Millet,,,Millets,,,,
,,,,,,Millet Ravas,,,,
,,,,,,Millet Noodles,,,,
,Spices,,Herbs,,,,,,,
,,,Ground Spices,,,,,,,
,,,Whole Spices,,,,,,,
,,,Pastes & Sauces,,,,,,,
,Fruits & Veggies,,Seasonal Fruits,,,,,,,
,,,Vegetables,,,,,,,
,,,Leafy Vegetables,,,,,,,
,,,Tinned,,,,,,,
,Pickles,,Priya,,,,,,,
,,,Navy Mukhi,,,,,,,
,,,Village,,,,,,,
,,,Telugu Foods,,,,,,,
,,,Non-Veg Pickles,,,,,,,
,,,Karam Podi,,,,,,,
,Sweets & Savouries,,Desi Sweets,,,,,,,
,,,Biscuits,,,,,,,
,,,Chocolates,,,,,,,
,,,Chips,,,,,,,
,,,GRB,,,,,,,
,,,A2B,,,,,,,
,,,Heera,,,,,,,
,,,Telugu Foods,,,,,,,
,Household,,GoGreen,,,,,,,
,,,Accessories,,,,,,,
,,,Beauty,,,,,,,
,,,Health & Wellbeing,,,,,,,
,,,Party & Fun,,,,,,,
,,,Stationery,,,,,,,
,,,Rakhi,,,,,,,
,Pooja,,Brass & Cooper,,,,,,,
,,,Camphor,,,,,,,
,,,Dipam,,,,,,,
,,,Idols,,,,,,,
,,,Incense Sticks,,,,,,,
,,,Photo Frames,,,,,,,
,,,Pooja Kits,,,,,,,
,,,Pooja Mandirs,,,,,,,
,,,Powders,,,,,,,
,,,Special Occasions,,,,,,,
