Sub_Cat_Level_1_Id,Sub_Cat_Level_1,Category_Level_0_Id
300301,Nutritional Drinks,200202
,Tea & Coffee,200202
,Attas & Flours,200203
,Pulses & Dals,200203
,Nuts & Dry Fruits,200203
,Ghees & Oils,200203
,Papads (Fryums),200203
,Food Colors,200203
,Sweeteners,200203
,Tea & Coffee,200203
,Basmati,200204
,Sona Masoori Rice,200204
,Single Polished,200204
,Matta / Ponni Rice,200204
,Other Rice Varieties,200204
,Poha / Murmura,200204
,Millet,200204
,Herbs,200205
,Ground Spices,200205
,Whole Spices,200205
,Pastes & Sauces,200205
,Seasonal Fruits,200206
,Vegetables,200206
,Leafy Vegetables,200206
,Tinned,200206
,Priya,200207
,Navy Mukhi,200207
,Village,200207
,Telugu Foods,200207
,Non-Veg Pickles,200207
,Karam Podi,200207
,Desi Sweets,200208
,Biscuits,200208
,Chocolates,200208
,Chips,200208
,GRB,200208
,A2B,200208
,Heera,200208
,Telugu Foods,200208
,GoGreen,200209
,Accessories,200209
,Beauty,200209
,Health & Wellbeing,200209
,Party & Fun,200209
,Stationery,200209
,Rakhi,200209
,Brass & Cooper,200210
,Camphor,200210
,Dipam,200210
,Idols,200210
,Incense Sticks,200210
,Photo Frames,200210
,Pooja Kits,200210
,Pooja Mandirs,200210
,Powders,200210
,Special Occasions,200210
